#d50	g	S	mu
33	0.000	0.50	-22
221	0.000	0.50	-16
100	0.000	0.50	-16
28	0.000	0.50	-22
501	56.60	0.80	-8
404	0.000	0.20	-19
281	0.000	0.20	-18
233	0.000	0.10	-19
33	0.000	0.01	-23
30	0.000	0.01	-22
238	0.000	0.01	-21
337	0.040	0.02	-22
405	14.30	0.50	-12
399	7.750	0.18	-12
41	0.000	0.01	-23
318	0.000	0.01	-21
432	0.400	0.30	-20
506	70.20	0.70	-8
437	49.95	0.71	-7
519	32.00	2.00	-10
398	30.00	5.10	-5
357	48.00	0.40	-9
389	49.50	2.10	-8
367	0.070	0.17	-20
399	39.50	1.50	-11
